2026-08-09 17:59:07,bitcoin,65157,0.13
2026-08-09 17:59:07,ethereum,1921.73,-0.06
2026-08-09 17:59:07,solana,77.1,0.94
2026-08-09 18:47:05,bitcoin,65173,0.26
2026-08-09 18:47:05,ethereum,1919.73,-0.0
2026-08-09 18:47:05,solana,77.09,1.27
2026-08-09 19:27:29,bitcoin,65166,0.29
2026-08-09 19:27:29,ethereum,1920.93,0.08
2026-08-09 19:27:29,solana,77.19,1.57
2026-08-09 19:57:39,bitcoin,65143,0.17
2026-08-09 19:57:39,ethereum,1920.5,0.05
2026-08-09 19:57:39,solana,77.19,1.36
2026-08-09 20:32:50,bitcoin,65081,0.1
2026-08-09 20:32:50,ethereum,1918.91,0.01
2026-08-09 20:32:50,solana,77.16,1.36
2026-08-09 21:06:57,bitcoin,65090,0.09
2026-08-09 21:06:57,ethereum,1919.46,0.02
2026-08-09 21:06:57,solana,77.14,1.22
2026-08-09 21:46:17,bitcoin,65163,0.24
2026-08-09 21:46:17,ethereum,1923.51,0.14
2026-08-09 21:46:17,solana,77.32,1.5
2026-08-09 22:23:12,bitcoin,65275,0.5
2026-08-09 22:23:12,ethereum,1931.23,0.65
2026-08-09 22:23:12,solana,77.54,1.78
2026-08-09 22:58:14,bitcoin,65043,0.21
2026-08-09 22:58:14,ethereum,1918.26,0.09
2026-08-09 22:58:14,solana,76.82,1.22
